place_name,street_address,address_number,city,zipcode,gmaps_url,latitude,longitude,places_url,record_created,short_description,alternate_names,date_built,date_notes,extant,place_type,architect_name,building_use,wikipedia_url,architectural_style,place_count,explore_id,explore_duplicate,chap_landmark,builder_name,inventory_relation,location_check_needed,date_razed,issue_url,street_name,neighborhood,osm_query,osm_flickr_tag_type,osm_flickr_tag_id,flickr_osm_url,source,extra_data,legislative_district,short_description_state,related_issue_url,featured,zoning_id,geo_accuracy,mihpno_district,mihp_district_name,mihp_historic_district,mihp_survey_district,housing_market_typology,chap_district,explore_url,county,state,full_address,congressional_district,council_district,source_url,official_url,interior_area_sf,lot_size_sf,nr_landmark,nr_district,NHL_designation,address_listed,lot,block,ownership_type,owner_address,owner_name,marker_symbol,slug,issue_type,sort_date,year_start,image_url,year_end,image_note,image_source,image_caption,developer_name,explore_url_show,editorial_state,development_state,unoccupied,streetview_url,streetview_image_url,religious_association,date_established,date_closed,lat_core,long_core,mihp_individual_good,events
Carroll Mansion,,800,Baltimore,21202,"https://www.google.com/maps/place/, Baltimore, MD",39.28871190,-76.60453690,,2017-05-03 3:38pm,,,,,,,,,https://en.wikipedia.org/wiki/Carroll_Mansion,,,27,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.2887119&lon=-76.6045369#map=19/39.2887119/-76.6045369,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/27,Baltimore City,MD,"800 E. Lombard Street, Baltimore, MD 21202",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Carroll Park,,1500,Baltimore,21230,"https://www.google.com/maps/place/, Baltimore, MD",39.27935379,-76.63929304,,2017-05-03 3:38pm,,,,,T,Landscape,,,,,,116,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.27935379&lon=-76.63929304#map=19/39.27935379/-76.63929304,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/116,Baltimore City,MD,"1500 Washington Boulevard, Baltimore, MD 21230",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,B-4609,
"Carrollton Viaduct, Baltimore & Ohio Railroad",Spanning Gwynn's Falls near Carroll Park,,Baltimore,21230,"https://www.google.com/maps/place/Spanning Gwynn's Falls near Carroll Park, Baltimore, MD",39.27534275,-76.65486217,,2017-05-03 12:55pm,,,,,T,Structure,,,https://en.wikipedia.org/wiki/Carrollton_Viaduct,,,76,,,,haer:md0908,,,,,,http://www.openstreetmap.org/query?lat=39.27534275&lon=-76.65486217#map=19/39.27534275/-76.65486217,,,,Baltimore/Baltimore County HABS/HAER/HALS – Index,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/76,Baltimore City,MD,"2100 Washington Boulevard, Baltimore, MD 21230",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,B-21,
Carter Grant Wilson Administration Hall,1700 East Coldspring Lane,1700,Baltimore,21251,"https://www.google.com/maps/place/1700 East Coldspring Lane, Baltimore, MD",39.34737600,-76.58478300,,2017-05-02 11:15pm,,,1964,,T,Building,William L. Gaudreau,School,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.347376&lon=-76.584783#map=19/39.347376/-76.584783,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"1700 East Coldspring Lane, Baltimore, MD 21251",,,,,,,,,,checked,,,,,,,,,1964,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.347376,-76.584783","https://maps.googleapis.com/maps/api/streetview?location=39.347376,-76.584783&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,5.785020,3.255470,,
Castalia,200 Tuscany Road,200 ,Baltimore,21210,"https://www.google.com/maps/place/200 Tuscany Road, Baltimore, MD",39.33907500,-76.62244100,,2017-05-03 12:11pm,"Castalia, also known as the Hillyer-Harris House, is a Tudor Revival house designed by locally prominent architect Laurence Hall Fowler in ca. 1928, was built for renowned educator Virgil M. Hillyer, a Harvard graduate and the first headmaster of the Calvert School. Hillyer is most associated with his development of the first home school curriculum. Thousands of families world-wide received their Calvert School education through the “classroom in a box” method, which emphasized the fundamentals of writing, spelling, reading, and mathematics as well as art, geography, music, science, and history. Castalia was named after the famous Greek mythological fountain at the base of Mount Parnassus, where weary travelers would stop and have a drink of the health-giving waters before moving up the mountain.",,c. 1928,,T,Building,Laurence Hall Fowler,,,Tudor Revival,1,490,,checked,,chap:140,,,,Tuscany Road,,http://www.openstreetmap.org/query?lat=39.339075&lon=-76.622441#map=19/39.339075/-76.622441,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/490,Baltimore City,MD,"200 Tuscany Road, Baltimore, MD 21210",,,,,,,,Tuscany-Canterbury Historic District,F,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Cathedral of Mary Our Queen (Cemetery),5200 North Charles Street,5200,Baltimore,21210,"https://www.google.com/maps/place/5200 North Charles Street, Baltimore, MD",39.35874200,-76.62609000,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.358742&lon=-76.62609#map=19/39.358742/-76.62609,,,,Baltimore Cemetery Inventory,,,,,,,9,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cathedral of Mary Our Queen,5200 North Charles Street,5200,Baltimore,21210,"https://www.google.com/maps/place/5200 North Charles Street, Baltimore, MD",39.35877000,-76.62605200,,2017-05-02 11:15pm,From A Guide to Baltimore Architecture (1973),,1954-1959,,T,Building,Maginnis and Walsh,Religious building,https://en.wikipedia.org/wiki/Cathedral_of_Mary_Our_Queen,Modernist,,564,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.35877&lon=-76.626052#map=19/39.35877/-76.626052,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/564,Baltimore City,MD,"5200 N. Charles Street, Baltimore, MD 21210",,,,,,,,,,checked,,,,,,,,,1954,,,,,,,,checked,,,,"https://maps.google.com/?layer=c&cbll=39.35877,-76.626052","https://maps.googleapis.com/maps/api/streetview?location=39.35877,-76.626052&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,6.924420,-0.871430,,
Catholic Center,Cathedral Street,,Baltimore,21201,"https://www.google.com/maps/place/Cathedral Street, Baltimore, MD",39.29377600,-76.61714800,,2017-05-03 3:38pm,,,,,T,Building,,,,,,497,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.293776&lon=-76.617148#map=19/39.293776/-76.617148,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/497,Baltimore City,MD,"320 Cathedral Street, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Cedarwood,4604 N. Charles Street,4604 ,Baltimore,,"https://www.google.com/maps/place/4604 N. Charles Street, Baltimore, MD",39.35024774,-76.62458428,,2017-05-03 12:11pm,"Cedarwood is an excellent example of 1920s suburban architecture and landscaping. It was built in 1927 by master architect Laurence Hall Fowler for multi-millionaire Alexander Duncan, founder of the Commercial Credit Corporation, Maryland’s second billion-dollar business. As a result of the expansion of Baltimore’s city boundaries in 1918, developers and homeowners began to desire a mix of urban and rural amenities into a suburban utopia; thus, new neighborhoods like Blythewood, where Cedarwood is located, were designed with the resources to support the Suburban ideal. For Cedarwood’s “French Eclectic” style, Fowler combined his well-educated understanding of architectural history to build a modern house garbed in Old World Landmark motifs. Its stone façade, slate roof and landscaping, as well as being setback from the street, emphasize its nature as a ‘retreat’. Cedarwood stands as one of the most opulent examples of how landscape and architecture captured 1920s suburban design and desire, and is emblematic of Baltimore’s vision of the Suburban ideal. ",,1927,,T,Building,Laurence Hall Fowler,,,French Eclectic,1,,,checked,,chap:115,,,,N. Charles Street,,http://www.openstreetmap.org/query?lat=39.35024774&lon=-76.62458428#map=19/39.35024774/-76.62458428,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centennial Cemetery,Hoffman Street,,Baltimore,,"https://www.google.com/maps/place/Hoffman Street, Baltimore, MD",39.30771000,-76.55588700,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.30771&lon=-76.555887#map=19/39.30771/-76.555887,,,,Baltimore Cemetery Inventory,,,,,,,5,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Center Plaza,Fayette Street,,Baltimore,,"https://www.google.com/maps/place/Fayette Street, Baltimore, MD",39.29095700,-76.61729600,,2017-05-02 11:15pm,,,,,T,Landscape,,Park/Landscape,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.290957&lon=-76.617296#map=19/39.290957/-76.617296,,,,Baltimore Modernism Inventory,,,,,,,n/a,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.290957,-76.617296","https://maps.googleapis.com/maps/api/streetview?location=39.290957,-76.617296&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,0.143120,0.004170,,
Centre Theatre,North Avenue,,Baltimore,21218,"https://www.google.com/maps/place/North Avenue, Baltimore, MD",39.31141148,-76.61556512,,2017-05-03 3:38pm,,,,,T,Building,,Theatre,,,,17,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.31141148&lon=-76.61556512#map=19/39.31141148/-76.61556512,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/17,Baltimore City,MD,"10 E. North Avenue, Baltimore, MD 21218",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Chamber of Commerce Building,17 Commerce Street,17 ,Baltimore,,"https://www.google.com/maps/place/17 Commerce Street, Baltimore, MD",39.28887110,-76.60987466,,2017-05-03 12:11pm,"The significance of the Chamber of Commerce Building derives from its architectural character and its role in Baltimore commercial history. As a structure designed in the Renaissance Revival manner, the building displays certain distinctive features, primarily decorative, that were commonly employed during the rebuilding of the Financial District after the Baltimore Fire. These features include rustication, quoining, dentils, egg and dart molding, modillion cornices and pilasters. The building is distinctive from many other buildings in the area through its use of reddish brick, rather than stone, and the horizontal quality of the building. The building is also associated with the commercial history of Baltimore.  It was constructed as a grain trading center with a trading room on the upper floor and offices for traders and exporters below. ",,1904,,T,Building,Charles E. Cassell,Offices,,Renaissance Revival,1,,,checked,,chap:88,,,,Commerce Street,,http://www.openstreetmap.org/query?lat=39.2888711&lon=-76.60987466#map=19/39.2888711/-76.60987466,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,checked,Business and Government Historic District,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Charles Fish and Sons,429 N. Eutaw Street,,Baltimore,21201,"https://www.google.com/maps/place/429 N. Eutaw Street, Baltimore, MD",39.29470300,-76.62103700,,2017-05-03 3:38pm,,,,,T,Building,,,,,,123,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.294703&lon=-76.621037#map=19/39.294703/-76.621037,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/123,Baltimore City,MD,"429 N. Eutaw Street, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,B-2258,
Charles Theater,1711-1717 N. Charles Street ,1711-1717 ,Baltimore,21201,"https://www.google.com/maps/place/1711-1717 N. Charles Street , Baltimore, MD",39.30923160,-76.61631280,,2017-05-03 12:11pm,"The Charles Theater complex embodies the history and changing times of Baltimore City. The building was originally built as a trolley car garage and adapted several times to other uses. The area that now houses the Charles Theater was built as a cable car barn in 1892 by the City Passenger Railway. In 1903 the City Passenger Railway was sold to the United Railways and Electric Company, which built the extension between 1911-1914. Here the facility was used as a bus garage by the United Railways and Electric Company which converted the area from a cable trolley system to electric cars. In 1939, the garage was rehabbed into the Times Theater, Baltimore’s first newsreel theater and Famous Ballroom. The Famous Ballroom was used for many events during the 1940s to 1960s. By 1964, the Famous Ballroom became home to the Left Bank Jazz Society which produced 48 shows per year. All the premier giants in jazz played at the Famous Ballroom. Today, The Charles Theater is Baltimore’s premiere art house theater.",Charles Theatre,1892,,T,Building,,,,Romanesque Revival,1,58,,checked,,chap:101,,,,N. Charles Street ,,http://www.openstreetmap.org/query?lat=39.3092316&lon=-76.6163128#map=19/39.3092316/-76.6163128,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/58,Baltimore City,MD,"1711 N. Charles Street, Baltimore, MD 21201",,,,,,,checked,North Central Historic District,F,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,B-3991,
Chase Brexton Health Care,,1111,Baltimore,21201,"https://www.google.com/maps/place/, Baltimore, MD",39.30291910,-76.61557070,,2017-05-03 3:38pm,,,,,T,Building,,,,,,556,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3029191&lon=-76.6155707#map=19/39.3029191/-76.6155707,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/556,Baltimore City,MD,"1111 N. Charles Street, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Chase House,1027 Cathedral Street,1027,Baltimore,21201,"https://www.google.com/maps/place/1027 Cathedral Street, Baltimore, MD",39.30194400,-76.61754500,,2017-05-02 11:15pm,189-units,,"May 31, 1978",,T,Building,,Multi-family dwelling,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.301944&lon=-76.617545#map=19/39.301944/-76.617545,way,336375270,https://www.flickr.com/photos/tags/osm:way=336375270,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"1027 Cathedral Street, Baltimore, MD 21201",,,,,,,,,,checked,,,,,,,,,1978,1978,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.301944,-76.617545","https://maps.googleapis.com/maps/api/streetview?location=39.301944,-76.617545&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,1.241820,-0.020730,,
Cherry Hill Elementary School #159,801 Bridgeview Road,801,Baltimore,,"https://www.google.com/maps/place/801 Bridgeview Road, Baltimore, MD",39.24745656,-76.62379774,,2017-05-03 12:11pm,"The Cherry Hill Elementary School #159 is a significant building to the community of Cherry Hill, which was the first planned African American suburban-style public housing community in Baltimore City. It is the first school built in Cherry Hill and one of the first institutional buildings in the community. The neighborhood was built in 1944 with federally subsidized low interest loans from the National Housing Association in response to an overcrowding crisis in Baltimore’s segregated African American communities due to the need for WWII workers. The school, built in 1945, was designed to not only address the social and educational needs of the community, but was deliberately planned to be the focal point of the neighborhood. Architects Riggin Buckler and G. Corner Fenhagen integrated modern principles into the school’s design to symbolize future opportunities through education as well as emphasize the forward look of the neighborhood. The school embodies not only progressive neighborhood planning efforts, but also the dynamism of the neighborhood during its first several decades as one of the early examples of post-WWII modern architecture in Baltimore. ",,1945,,T,Building,Buckler & Fenhagen (Riggin Buckler and G. Corner Fenhagen),,,Institutional,1,,,checked,,chap:123,,,,Bridgeview Road,,http://www.openstreetmap.org/query?lat=39.24745656&lon=-76.62379774#map=19/39.24745656/-76.62379774,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chesapeake Restaurant,Charles Street,,Baltimore,21201,"https://www.google.com/maps/place/Charles Street, Baltimore, MD",39.30889340,-76.61612330,,2017-05-03 3:38pm,,,,,T,Building,,,,,,196,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.3088934&lon=-76.6161233#map=19/39.3088934/-76.6161233,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/196,Baltimore City,MD,"1701 N. Charles Street, Baltimore, MD 21201",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Chevrah Ahavas Chesed,9800 Liberty Road,9800,Baltimore,,"https://www.google.com/maps/place/9800 Liberty Road, Baltimore, MD",39.37977700,-76.82016200,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.379777&lon=-76.820162#map=19/39.379777/-76.820162,,,,Baltimore Cemetery Inventory,,,,,,,8,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chizuk Amuno Congregation,8100 Stevenson Road ,8100,Baltimore,21208,"https://www.google.com/maps/place/8100 Stevenson Road , Baltimore, MD",39.39293400,-76.71425400,,2017-05-02 11:15pm,,,1958-1967,,T,,,Religious building,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.392934&lon=-76.714254#map=19/39.392934/-76.714254,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"8100 Stevenson Road , Baltimore, MD 21208",,,,,,,,,,checked,,,,,,,,,1958,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.392934,-76.714254","https://maps.googleapis.com/maps/api/streetview?location=39.392934,-76.714254&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,10.340820,-9.691630,,
Choyce House,3928 Hunter Street,3928,Ellicott City,21043,"https://www.google.com/maps/place/3928 Hunter Street, Ellicott City, MD",39.26371900,-76.80426300,,2017-05-02 11:15pm,,,1949,,,Building,,Dwelling,,Modernist,,,,,Lawrence Choyce,,,,,,,http://www.openstreetmap.org/query?lat=39.263719&lon=-76.804263#map=19/39.263719/-76.804263,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Howard County,MD,"3928 Hunter Street, Ellicott City, MD 21043",,,http://msa.maryland.gov/megafile/msa/stagsere/se1/se5/030600/030690/pdf/msa_se5_30690.pdf,,,,,,,checked,,,,,,,,,1949,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.263719,-76.804263","https://maps.googleapis.com/maps/api/streetview?location=39.263719,-76.804263&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,-2.580680,-18.692530,,
Christ Church Protestant Episcopal Burial Ground,near Broadway,,Baltimore,,"https://www.google.com/maps/place/near Broadway, Baltimore, MD",39.30323900,-76.59445100,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.303239&lon=-76.594451#map=19/39.303239/-76.594451,,,,Baltimore Cemetery Inventory,,,,,,,5,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ Church United Church of Christ,1308 Beason Street,1308 ,Baltimore,,"https://www.google.com/maps/place/1308 Beason Street, Baltimore, MD",39.27233073,-76.59373770,,2017-05-03 12:11pm,"The congregation of “The German United Evangelical Christ Church” formed in Locust Point in 1886, and following several mergers with other denominations, in 1972 became the Christ Evangelical and Reformed Church, United Church of Christ (also known as the Christ United Church of Christ). Designed by Pastor Eduard Huber of St. Matthew United Evangelical and Reformed Church and built in 1887-88 by Fred Decker, the church is an excellent example of vernacular Gothic Revival church architecture, including elements such as its pointed windows and buttresses. In 1904 the church opened the Immigrant Home to assist German immigrants and seamen traveling through Baltimore, which closed in the late 1950s. For over a hundred years, the church has served the spiritual and social needs of Locust Point residents and is also an important landmark in the immigration history of Baltimore.",,1887-1888,,T,Building,Rev. Eduard Huber,Religious building,,Gothic Revival,1,,,checked,,chap:129,,,,Beason Street,,http://www.openstreetmap.org/query?lat=39.27233073&lon=-76.5937377#map=19/39.27233073/-76.5937377,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,F,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christ Protestant Episcopal Church & Churchyard,Baltimore Street and Front Street,,Baltimore,,"https://www.google.com/maps/place/Baltimore Street and Front Street, Baltimore, MD",39.29006600,-76.60530200,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,checked,,,,,http://www.openstreetmap.org/query?lat=39.290066&lon=-76.605302#map=19/39.290066/-76.605302,,,,Baltimore Cemetery Inventory,,,,,,,3,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Christopher Family Graveyard,3119 Royston Avenue,3119,Baltimore,21214,"https://www.google.com/maps/place/3119 Royston Avenue, Baltimore, MD",39.35736900,-76.55310350,,2017-05-02 11:15pm,,,,,T,Cemetery,,,,,,581,,,,,,,http://baltimoreheritage.org/preservation/christopher-family-graveyard-is-threatened-by-development/,,Westfield,http://www.openstreetmap.org/query?lat=39.357369&lon=-76.5531035#map=19/39.357369/-76.5531035,,,,Historic Resource Watchlist,T,45,on-website,,F,65,,,,,,C - Middle Market Choice,,https://explore.baltimoreheritage.org/items/show/581,Baltimore City,MD,,3RD,3,,,,,,,,,,,Private,,,,,,,,,,,,,,,,,N,"https://maps.google.com/?layer=c&cbll=39.357369,-76.5531035","https://maps.googleapis.com/maps/api/streetview?location=39.357369,-76.5531035&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,6.784320,6.423420,,
Church & Company,,3647,Baltimore,21211,"https://www.google.com/maps/place/, Baltimore, MD",39.33247460,-76.63509780,,2017-05-03 3:38pm,,,,,T,Building,,"Religious building,Commercial building",,,,516,,,,,,,,,Hampden,http://www.openstreetmap.org/query?lat=39.3324746&lon=-76.6350978#map=19/39.3324746/-76.6350978,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/516,Baltimore City,MD,"3647 Falls Road, Baltimore, MD 21211",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
Church of the Immaculate Conception,1512 Druid Hill Avenue,1512,Baltimore,21217,"https://www.google.com/maps/place/1512 Druid Hill Avenue, Baltimore, MD",39.30375600,-76.63102100,,2017-05-02 11:15pm,,,1972,,T,Building,William L. Gaudreau,Religious building,,Modernist,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.303756&lon=-76.631021#map=19/39.303756/-76.631021,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"1512 Druid Hill Avenue, Baltimore, MD 21217",,,,,,,,,,checked,,,,,,,,,1972,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.303756,-76.631021","https://maps.googleapis.com/maps/api/streetview?location=39.303756,-76.631021&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,1.423020,-1.368330,,
Church of the Redeemer,5603 N. Charles Street,5603,Baltimore,21210,"https://www.google.com/maps/place/5603 N. Charles Street, Baltimore, MD",39.36603700,-76.62542200,,2017-05-02 11:15pm,From A Guide to Baltimore Architecture (1973),,1955-1958,,T,Building,"Pietro Belluschi,Rogers Talliaferro & Lamb",Religious building,,Modernist,,,,,,habs:md1612,,,,,,http://www.openstreetmap.org/query?lat=39.366037&lon=-76.625422#map=19/39.366037/-76.625422,,,,Baltimore Modernism Inventory,,,,,,,,,,,,,,,Baltimore City,MD,"5603 North Charles Street, Baltimore, MD 21210",,,,,,,,,,checked,,,,,,,,,1955,,,,,,,,,,,,"https://maps.google.com/?layer=c&cbll=39.366037,-76.625422","https://maps.googleapis.com/maps/api/streetview?location=39.366037,-76.625422&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,7.651120,-0.808430,,
Church of the Redeemer Columbarium,5603 N. Charles Street,5603,Baltimore,,"https://www.google.com/maps/place/5603 N. Charles Street, Baltimore, MD",39.36562500,-76.62422600,,2017-05-03 10:13am,,,,,,Cemetery,,,,,,,,,,,,,,,,http://www.openstreetmap.org/query?lat=39.365625&lon=-76.624226#map=19/39.365625/-76.624226,,,,Baltimore Cemetery Inventory,,,,,,,9,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
City Hall Rotunda,100 North Holliday Street,100,Baltimore,,"https://www.google.com/maps/place/100 North Holliday Street, Baltimore, MD",39.29086180,-76.61286420,,2017-05-03 12:11pm,,,,,T,Public Interior,,,,,1,,,checked,,chap:PI4,,,,N. Holliday Street,,http://www.openstreetmap.org/query?lat=39.2908618&lon=-76.6128642#map=19/39.2908618/-76.6128642,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,,Baltimore City,MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clifton Mansion,2701 St. Lo Drive,2701 ,Baltimore,21213,"https://www.google.com/maps/place/2701 St. Lo Drive, Baltimore, MD",39.32086528,-76.58700228,,2017-05-03 12:11pm,"Clifton was built about 1801-1803 as a country home by Henry Thompson, a prominent Baltimore merchant. It dominated a large working farm and had stone walls over a foot thick, many fireplaces with marble mantels, and decorative plaster work ceilings. Johns Hopkins purchased the mansion in 1840 and remodeled it in 1851 in the Italianate style, adding formal rooms and an imposing stairway and tower from which one may still find a magnificent view of the city and its harbor. In 1895 Clifton was sold to the City as a public park. ",,1801-1803; 1851,,T,Building,Architect Unknown; Niernsee & Neilson (John Rudolph Niernsee and J. Crawford Neilson),,,Italianate,1,22,,checked,,"chap:40,habs:md1628",,,,"St. Lo Drive (address not exact), Clifton Park",,http://www.openstreetmap.org/query?lat=39.32086528&lon=-76.58700228#map=19/39.32086528/-76.58700228,,,,CHAP Landmarks List (Revised),,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/22,Baltimore City,MD,"2701 St. Lo Drive, Baltimore, MD 21213",,,,,,,,Clifton Park Historic District,F,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,B-44,
Clifton Park Gardener's Cottage,Rose Street,,Baltimore,21213,"https://www.google.com/maps/place/Rose Street, Baltimore, MD",39.31886300,-76.58239900,,2017-05-02 11:15pm,,,,,T,Building,,Dwelling,,,1,472,,,,,,,http://baltimoreheritage.org/issue/gardeners-cottage-at-clifton-park/,,Clifton Park,http://www.openstreetmap.org/query?lat=39.318863&lon=-76.582399#map=19/39.318863/-76.582399,,,,Historic Resource Watchlist,T,45,,,F,7,5,,,,,Green Space,,https://explore.baltimoreheritage.org/items/show/472,Baltimore City,MD,"Rose Street Baltimore, MD 21213",7TH,14,,,,,,Clifton Park,,,,,Public/City,,Mayor and City Council of Baltimore,building,gardeners-cottage-at-clifton-park,Lack of Funding,,,,,,,,,,,,null,"https://maps.google.com/?layer=c&cbll=39.318863,-76.582399","https://maps.googleapis.com/maps/api/streetview?location=39.318863,-76.582399&size=512x512&key=AIzaSyAJuUnhBMoimCcbU_x2--fECyOT_29DPgk",,,,2.933720,3.493870,,
Clifton Park Valve House,,2701,Baltimore,21213,"https://www.google.com/maps/place/, Baltimore, MD",39.31893803,-76.58697546,,2017-05-03 3:38pm,,,,,T,Structure,,,https://en.wikipedia.org/wiki/Clifton_Park_Valve_House,,,198,checked,,,,,,,,,http://www.openstreetmap.org/query?lat=39.31893803&lon=-76.58697546#map=19/39.31893803/-76.58697546,,,,Explore Baltimore Heritage Published Log,,,,,,,,,,,,,,https://explore.baltimoreheritage.org/items/show/198,Baltimore City,MD,"2701 Saint Lo Drive, Baltimore, MD 21213",,,,,,,,,,,,,,,,,,,,,,,,,,,checked,,,,,,,,,,,,
